scenario_name,match_index,seed,board_size,scoring_mode,agent_a_color,agent_b_color,winner_label,turns,total_passes,termination_reason,total_time_seconds,average_move_time_seconds,agent_a_move_count,agent_b_move_count,agent_a_total_move_time_seconds,agent_b_total_move_time_seconds,agent_a_average_move_time_seconds,agent_b_average_move_time_seconds,agent_a_score,agent_b_score,agent_a_discs,agent_b_discs,score_margin_for_a,normalized_score_margin_for_a,agent_a_nodes_expanded_total,agent_b_nodes_expanded_total,agent_a_alpha_beta_prunes_total,agent_b_alpha_beta_prunes_total,agent_a_mcts_simulations_total,agent_b_mcts_simulations_total,agent_a_mcts_nodes_created_total,agent_b_mcts_nodes_created_total,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_mcts_random,0,42,6,standard,BLACK,WHITE,A,31,2,no_moves_both,18.477902600017842,0.5959051032268983,16,15,1.3730275000852998,17.100030699948547,0.08581421875533124,1.1400020466632366,31,2,31,2,29,0.8787878787878788,2660,0,929,0,0,7500,0,6673,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_random,1,43,6,standard,WHITE,BLACK,A,36,4,board_full,20.137579400005052,0.5592444055558493,18,18,1.2271094000316225,18.90568919997895,0.06817274444620125,1.0503160666654974,33,3,33,3,30,0.8333333333333334,2466,0,856,0,0,9000,0,7050,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_random,2,44,6,standard,BLACK,WHITE,A,33,1,board_full,19.028272900002776,0.5764756151519109,17,16,1.6016641000460368,17.422031199967023,0.09421553529682569,1.088876949997939,30,6,30,6,24,0.6666666666666666,2864,0,1178,0,0,8000,0,6536,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_random,3,45,6,standard,WHITE,BLACK,A,33,1,board_full,20.089016099984292,0.6086201515166921,16,17,1.4935587000800297,18.59090629997081,0.09334741875500185,1.0935827235276947,27,9,27,9,18,0.5,2955,0,961,0,0,8500,0,6760,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_random,4,46,6,standard,BLACK,WHITE,A,32,0,board_full,18.940934499987634,0.5917593968715664,16,16,1.387708699941868,17.548591999948258,0.08673179374636675,1.096786999996766,24,12,24,12,12,0.3333333333333333,2743,0,931,0,0,8000,0,6569,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_random,5,47,6,standard,WHITE,BLACK,B,32,0,board_full,19.767306699999608,0.6175902000049973,16,16,1.0789281000907067,18.683958300069207,0.06743300625566917,1.1677473937543255,15,21,15,21,-6,-0.16666666666666666,2037,0,635,0,0,8000,0,6705,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_random,6,48,6,standard,BLACK,WHITE,DRAW,32,0,board_full,18.495874000014737,0.5778555718743519,16,16,1.1167326000286266,17.374645699950634,0.06979578750178916,1.0859153562469146,18,18,18,18,0,0.0,2163,0,648,0,0,8000,0,6638,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_random,7,49,6,standard,WHITE,BLACK,A,32,0,board_full,19.730549700005213,0.6164448750041629,16,16,1.0250994001107756,18.701136600022437,0.06406871250692348,1.1688210375014023,21,15,21,15,6,0.16666666666666666,1944,0,649,0,0,8000,0,6788,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,0,10042,6,standard,BLACK,WHITE,B,32,0,board_full,57.47725230001379,1.7960286968782384,16,16,1.19091720005963,56.282001100044,0.07443232500372687,3.51762506875275,16,20,16,20,-4,-0.1111111111111111,2235,0,657,0,0,8000,0,6280,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,1,10043,6,standard,WHITE,BLACK,B,32,0,board_full,61.68285719997948,1.9274553718732932,16,16,0.8093663999752607,60.86920549997012,0.050585399998453795,3.8043253437481326,13,23,13,23,-10,-0.2777777777777778,1779,0,334,0,0,8000,0,6752,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
