scenario_name,board_size,scoring_mode,matches,agent_a_wins,agent_b_wins,draws,agent_a_win_rate,agent_b_win_rate,draw_rate,avg_turns,avg_total_passes,avg_time_per_match_seconds,avg_time_per_move_seconds,agent_a_avg_move_time_seconds,agent_b_avg_move_time_seconds,agent_a_avg_score,agent_b_avg_score,avg_score_margin_for_a,avg_normalized_score_margin_for_a,agent_a_avg_nodes_expanded_per_move,agent_b_avg_nodes_expanded_per_move,agent_a_avg_alpha_beta_prunes_per_move,agent_b_avg_alpha_beta_prunes_per_move,agent_a_avg_mcts_simulations_per_move,agent_b_avg_mcts_simulations_per_move,agent_a_avg_mcts_nodes_created_per_move,agent_b_avg_mcts_nodes_created_per_move,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_mcts_random,6,standard,8,6,1,1,0.75,0.125,0.125,32.625,1.0,19.333429487502144,0.592595539846809,0.07865517939248065,1.1102076153835068,24.875,10.75,14.125,0.40151515151515155,151.38931297709922,0.0,51.80916030534351,0.0,0.0,500.0,0.0,413.2230769230769,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,6,standard,8,2,6,0,0.25,0.75,0.0,32.125,0.5,59.73588332500003,1.8594827494163435,0.06789808906228245,3.6369096372085226,19.625,16.0,3.625,0.11010737628384688,131.234375,0.0,35.9140625,0.0,0.0,500.0,0.0,410.2170542635659,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_successor_eval,6,standard,8,3,5,0,0.375,0.625,0.0,32.75,0.75,73.29556591250002,2.2380325469465654,0.08905541755722032,4.386742066411356,21.625,14.375,7.25,0.20138888888888887,163.34351145038167,0.0,48.50381679389313,0.0,0.0,500.0,0.0,395.8854961832061,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
minimax_balanced_vs_mcts_rollout_topk,6,standard,8,8,0,0,1.0,0.0,0.0,33.625,2.25,161.41957166249995,4.800582056877322,0.16268573970570716,9.542482900753384,30.125,5.25,24.875,0.7043650793650792,152.3235294117647,0.0,52.81617647058823,0.0,0.0,500.0,0.0,402.90977443609023,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
minimax_d3_vs_d4_balanced,6,standard,8,4,4,0,0.5,0.5,0.0,33.5,1.5,3.991039649990853,0.11913551194002546,0.06282428939360243,0.17307727573407808,19.5,16.5,3.0,0.08333333333333329,50.75757575757576,117.5,8.575757575757576,33.088235294117645,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d4_vs_d5_balanced,6,standard,8,4,4,0,0.5,0.5,0.0,34.0,2.5,10.646991262507072,0.3131468018384433,0.14788325073523617,0.4776823610304478,14.5,21.0,-6.5,-0.18888888888888888,113.05882352941177,405.20588235294116,21.11764705882353,67.17647058823529,0.0,0.0,0.0,0.0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d3_vs_d5_balanced,6,standard,8,4,4,0,0.5,0.5,0.0,32.5,0.5,8.167469725001865,0.25130676076928815,0.05365240000008436,0.4543966304681817,24.0,12.0,12.0,0.3333333333333333,41.72727272727273,365.625,8.909090909090908,69.46875,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
mcts_random_100_vs_500,6,standard,8,0,8,0,0.0,1.0,0.0,32.25,1.25,57.11473306249536,1.7709994748060578,0.6075223187497159,2.915883952306467,7.375,27.625,-20.25,-0.5843253968253969,0.0,0.0,0.0,0.0,100.0,500.0,85.7109375,399.65384615384613,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
mcts_random_500_vs_1000,6,standard,8,1,6,1,0.125,0.75,0.125,32.75,0.75,151.4543895124989,4.624561511832027,3.141167516921996,6.084601929545346,13.75,22.25,-8.5,-0.23611111111111113,0.0,0.0,0.0,0.0,500.0,1000.0,415.8692307692308,799.4924242424242,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
mcts_random_100_vs_1000,6,standard,8,0,8,0,0.0,1.0,0.0,32.0,1.125,110.35612113750176,3.44862878554693,0.6718356716547411,6.181605978295399,8.25,26.625,-18.375,-0.5393518518518517,0.0,0.0,0.0,0.0,100.0,1000.0,87.48818897637796,795.8682170542636,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
