scenario_name,match_index,seed,board_size,scoring_mode,agent_a_color,agent_b_color,winner_label,turns,total_passes,termination_reason,total_time_seconds,average_move_time_seconds,agent_a_move_count,agent_b_move_count,agent_a_total_move_time_seconds,agent_b_total_move_time_seconds,agent_a_average_move_time_seconds,agent_b_average_move_time_seconds,agent_a_score,agent_b_score,agent_a_discs,agent_b_discs,score_margin_for_a,normalized_score_margin_for_a,agent_a_nodes_expanded_total,agent_b_nodes_expanded_total,agent_a_alpha_beta_prunes_total,agent_b_alpha_beta_prunes_total,agent_a_mcts_simulations_total,agent_b_mcts_simulations_total,agent_a_mcts_nodes_created_total,agent_b_mcts_nodes_created_total,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_mcts_random,0,42,4,standard,BLACK,WHITE,B,12,0,board_full,0.7951124999963213,0.06618290833284846,6,6,0.02932520001195371,0.7648696999822278,0.004887533335325618,0.12747828333037128,6,10,6,10,-4,-0.25,181,0,44,0,0,3000,0,1370,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,0,10042,4,standard,BLACK,WHITE,B,12,0,board_full,1.1968270000070333,0.09965936666170212,6,6,0.026047599996672943,1.1698647999437526,0.0043412666661121575,0.1949774666572921,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1403,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_successor_eval,0,20042,4,standard,BLACK,WHITE,B,12,0,board_full,1.3031674000085331,0.10851721667131642,6,6,0.026296600030036643,1.2759100000257604,0.004382766671672774,0.21265166667096005,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1343,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
minimax_balanced_vs_mcts_rollout_topk,0,30042,4,standard,BLACK,WHITE,B,12,0,board_full,1.3618503999896348,0.11341471665946301,6,6,0.025955799967050552,1.3350207999465056,0.004325966661175092,0.22250346665775092,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1365,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
minimax_d3_vs_d4_balanced,0,40042,4,standard,BLACK,WHITE,B,12,1,no_moves_both,0.032486500014783815,0.0026077500006067567,6,6,0.014131899981293827,0.017161100025987253,0.002355316663548971,0.0028601833376645422,2,13,2,13,-11,-0.7333333333333333,87,121,18,36,0,0,0,0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d4_vs_d5_balanced,0,50042,4,standard,BLACK,WHITE,B,10,0,no_moves_both,0.06244030001107603,0.00616760000702925,5,5,0.02600680000614375,0.035669200064148754,0.00520136000122875,0.007133840012829751,3,11,3,11,-8,-0.5714285714285714,154,263,39,60,0,0,0,0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d3_vs_d5_balanced,0,60042,4,standard,BLACK,WHITE,B,12,1,no_moves_both,0.04942639998625964,0.0040475999970415915,6,6,0.01344270000117831,0.03512849996332079,0.0022404500001963847,0.005854749993886799,2,13,2,13,-11,-0.7333333333333333,87,261,18,55,0,0,0,0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
mcts_random_100_vs_500,0,70042,4,standard,BLACK,WHITE,B,12,0,board_full,1.0024519999860786,0.08346635834459448,6,6,0.23373220005305484,0.767864100082079,0.03895536667550914,0.12797735001367982,5,11,5,11,-6,-0.375,0,0,0,0,600,3000,371,1396,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
mcts_random_500_vs_1000,0,80042,4,standard,BLACK,WHITE,B,13,1,board_full,2.4079324000049382,0.1851452538506307,7,6,0.999392700032331,1.407495600025868,0.14277038571890444,0.23458260000431133,7,9,7,9,-2,-0.125,0,0,0,0,3500,6000,1562,2355,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
mcts_random_100_vs_1000,0,90042,4,standard,BLACK,WHITE,B,12,0,board_full,1.6414733999990858,0.136716433330245,6,6,0.24165609996998683,1.3989410999929532,0.04027601666166447,0.23315684999882555,5,11,5,11,-6,-0.375,0,0,0,0,600,6000,418,2241,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
