scenario_name,board_size,scoring_mode,matches,agent_a_wins,agent_b_wins,draws,agent_a_win_rate,agent_b_win_rate,draw_rate,avg_turns,avg_total_passes,avg_time_per_match_seconds,avg_time_per_move_seconds,agent_a_avg_move_time_seconds,agent_b_avg_move_time_seconds,agent_a_avg_score,agent_b_avg_score,avg_score_margin_for_a,avg_normalized_score_margin_for_a,agent_a_avg_nodes_expanded_per_move,agent_b_avg_nodes_expanded_per_move,agent_a_avg_alpha_beta_prunes_per_move,agent_b_avg_alpha_beta_prunes_per_move,agent_a_avg_mcts_simulations_per_move,agent_b_avg_mcts_simulations_per_move,agent_a_avg_mcts_nodes_created_per_move,agent_b_avg_mcts_nodes_created_per_move,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_mcts_random,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,0.7951124999963213,0.06625937499969344,0.004887533335325618,0.12747828333037128,6.0,10.0,-4.0,-0.25,30.166666666666668,0.0,7.333333333333333,0.0,0.0,500.0,0.0,228.33333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.1968270000070333,0.09973558333391945,0.0043412666661121575,0.1949774666572921,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,233.83333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_successor_eval,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.3031674000085331,0.10859728333404443,0.004382766671672774,0.21265166667096005,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,223.83333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
minimax_balanced_vs_mcts_rollout_topk,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.3618503999896348,0.11348753333246957,0.004325966661175092,0.22250346665775092,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,227.5,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
minimax_d3_vs_d4_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,1.0,0.032486500014783815,0.0027072083345653177,0.002355316663548971,0.0028601833376645422,2.0,13.0,-11.0,-0.7333333333333333,14.5,20.166666666666668,3.0,6.0,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d4_vs_d5_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,10.0,0.0,0.06244030001107603,0.006244030001107603,0.00520136000122875,0.007133840012829751,3.0,11.0,-8.0,-0.5714285714285714,30.8,52.6,7.8,12.0,0.0,0.0,0.0,0.0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d3_vs_d5_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,1.0,0.04942639998625964,0.004118866665521637,0.0022404500001963847,0.005854749993886799,2.0,13.0,-11.0,-0.7333333333333333,14.5,43.5,3.0,9.166666666666666,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
mcts_random_100_vs_500,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.0024519999860786,0.08353766666550655,0.03895536667550914,0.12797735001367982,5.0,11.0,-6.0,-0.375,0.0,0.0,0.0,0.0,100.0,500.0,61.833333333333336,232.66666666666666,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
mcts_random_500_vs_1000,4,standard,1,0,1,0,0.0,1.0,0.0,13.0,1.0,2.4079324000049382,0.1852255692311491,0.14277038571890444,0.23458260000431133,7.0,9.0,-2.0,-0.125,0.0,0.0,0.0,0.0,500.0,1000.0,223.14285714285714,392.5,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
mcts_random_100_vs_1000,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.6414733999990858,0.13678944999992382,0.04027601666166447,0.23315684999882555,5.0,11.0,-6.0,-0.375,0.0,0.0,0.0,0.0,100.0,1000.0,69.66666666666667,373.5,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
minimax_balanced_vs_aggressive,4,standard,1,0,1,0,0.0,1.0,0.0,10.0,0.0,0.04626289999578148,0.004626289999578148,0.005410000000847503,0.0036954799958039074,3.0,11.0,-8.0,-0.5714285714285714,30.8,25.4,7.8,8.6,0.0,0.0,0.0,0.0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=aggressive],4,aggressive,True,,1.41421356237,random,lightweight,3,
