scenario_name,board_size,scoring_mode,matches,agent_a_wins,agent_b_wins,draws,agent_a_win_rate,agent_b_win_rate,draw_rate,avg_turns,avg_total_passes,avg_time_per_match_seconds,avg_time_per_move_seconds,agent_a_avg_move_time_seconds,agent_b_avg_move_time_seconds,agent_a_avg_score,agent_b_avg_score,avg_score_margin_for_a,avg_normalized_score_margin_for_a,agent_a_avg_nodes_expanded_per_move,agent_b_avg_nodes_expanded_per_move,agent_a_avg_alpha_beta_prunes_per_move,agent_b_avg_alpha_beta_prunes_per_move,agent_a_avg_mcts_simulations_per_move,agent_b_avg_mcts_simulations_per_move,agent_a_avg_mcts_nodes_created_per_move,agent_b_avg_mcts_nodes_created_per_move,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_mcts_random,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,0.7999864000012167,0.06666553333343472,0.004765483332448639,0.1284104333317373,6.0,10.0,-4.0,-0.25,30.166666666666668,0.0,7.333333333333333,0.0,0.0,500.0,0.0,228.33333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.2082050999742933,0.1006837583311911,0.00448504999318781,0.19673706665829135,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,233.83333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_successor_eval,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.293735099985497,0.10781125833212475,0.004336350000812672,0.21113746666621105,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,223.83333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
minimax_balanced_vs_mcts_rollout_topk,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.3587921000143979,0.11323267500119982,0.004384883335054231,0.22193756666092668,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,227.5,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
minimax_d3_vs_d4_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,1.0,0.031975300022168085,0.0026646083351806737,0.0022745166594783464,0.0029009833281937367,2.0,13.0,-11.0,-0.7333333333333333,14.5,20.166666666666668,3.0,6.0,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d4_vs_d5_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,10.0,0.0,0.06311590000404976,0.006311590000404976,0.00550064000999555,0.006965700001455843,3.0,11.0,-8.0,-0.5714285714285714,30.8,52.6,7.8,12.0,0.0,0.0,0.0,0.0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d3_vs_d5_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,1.0,0.049905499996384606,0.004158791666365384,0.0022432666640573493,0.005903816665522754,2.0,13.0,-11.0,-0.7333333333333333,14.5,43.5,3.0,9.166666666666666,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
mcts_random_100_vs_500,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.0052234000177123,0.08376861666814268,0.03910695000377018,0.128266966654337,5.0,11.0,-6.0,-0.375,0.0,0.0,0.0,0.0,100.0,500.0,61.833333333333336,232.66666666666666,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
mcts_random_500_vs_1000,4,standard,1,0,1,0,0.0,1.0,0.0,13.0,1.0,2.4381409999914467,0.18754930769164974,0.14300547143544204,0.2393401333344324,7.0,9.0,-2.0,-0.125,0.0,0.0,0.0,0.0,500.0,1000.0,223.14285714285714,392.5,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
mcts_random_100_vs_1000,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.6213248000130989,0.13511040000109156,0.03937721666200863,0.23069451665893817,5.0,11.0,-6.0,-0.375,0.0,0.0,0.0,0.0,100.0,1000.0,69.66666666666667,373.5,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
