scenario_name,match_index,seed,board_size,scoring_mode,agent_a_color,agent_b_color,winner_label,turns,total_passes,termination_reason,total_time_seconds,average_move_time_seconds,agent_a_move_count,agent_b_move_count,agent_a_total_move_time_seconds,agent_b_total_move_time_seconds,agent_a_average_move_time_seconds,agent_b_average_move_time_seconds,agent_a_score,agent_b_score,agent_a_discs,agent_b_discs,score_margin_for_a,normalized_score_margin_for_a,agent_a_nodes_expanded_total,agent_b_nodes_expanded_total,agent_a_alpha_beta_prunes_total,agent_b_alpha_beta_prunes_total,agent_a_mcts_simulations_total,agent_b_mcts_simulations_total,agent_a_mcts_nodes_created_total,agent_b_mcts_nodes_created_total,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_mcts_random,0,42,4,standard,BLACK,WHITE,B,12,0,board_full,0.8068358000018634,0.06715914166610067,6,6,0.02905859999009408,0.776851100003114,0.004843099998349014,0.12947518333385233,6,10,6,10,-4,-0.25,181,0,44,0,0,3000,0,1370,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,0,10042,4,standard,BLACK,WHITE,B,12,0,board_full,1.2093382000166457,0.10070514166727662,6,6,0.026619500014930964,1.1818421999923885,0.004436583335821827,0.1969736999987314,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1403,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_successor_eval,0,20042,4,standard,BLACK,WHITE,B,12,0,board_full,1.3085242999950424,0.10897201666618155,6,6,0.026728799944976345,1.2809354000492021,0.0044547999908293905,0.2134892333415337,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1343,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
minimax_balanced_vs_mcts_rollout_topk,0,30042,4,standard,BLACK,WHITE,B,12,0,board_full,1.3686291000049096,0.1139797583333954,6,6,0.02592359998379834,1.3418335000169463,0.004320599997299723,0.22363891666949107,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1365,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
minimax_d3_vs_d4_balanced,0,40042,4,standard,BLACK,WHITE,B,12,1,no_moves_both,0.03239249999751337,0.0026212333323201165,6,6,0.014336699969135225,0.017118100018706173,0.002389449994855871,0.002853016669784362,2,13,2,13,-11,-0.7333333333333333,87,121,18,36,0,0,0,0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d4_vs_d5_balanced,0,50042,4,standard,BLACK,WHITE,B,10,0,no_moves_both,0.0646126999927219,0.006386010002461262,5,5,0.02708520001033321,0.03677490001427941,0.005417040002066642,0.007354980002855882,3,11,3,11,-8,-0.5714285714285714,154,263,39,60,0,0,0,0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d3_vs_d5_balanced,0,60042,4,standard,BLACK,WHITE,B,12,1,no_moves_both,0.04904290000558831,0.0040176666613357765,6,6,0.013747199933277443,0.03446480000275187,0.002291199988879574,0.005744133333791979,2,13,2,13,-11,-0.7333333333333333,87,261,18,55,0,0,0,0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
mcts_random_100_vs_500,0,70042,4,standard,BLACK,WHITE,B,12,0,board_full,1.0137859000242315,0.08440865000253932,6,6,0.2353241000091657,0.777579700021306,0.03922068333486095,0.12959661667021768,5,11,5,11,-6,-0.375,0,0,0,0,600,3000,371,1396,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
mcts_random_500_vs_1000,0,80042,4,standard,BLACK,WHITE,B,13,1,board_full,2.43304210001952,0.1870849615415164,7,6,1.0117727000033483,1.4203318000363652,0.14453895714333548,0.23672196667272752,7,9,7,9,-2,-0.125,0,0,0,0,3500,6000,1562,2355,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
mcts_random_100_vs_1000,0,90042,4,standard,BLACK,WHITE,B,12,0,board_full,1.638834899989888,0.13649540833284846,6,6,0.24045549999573268,1.3974893999984488,0.04007591666595545,0.23291489999974146,5,11,5,11,-6,-0.375,0,0,0,0,600,6000,418,2241,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
