scenario_name,board_size,scoring_mode,matches,agent_a_wins,agent_b_wins,draws,agent_a_win_rate,agent_b_win_rate,draw_rate,avg_turns,avg_total_passes,avg_time_per_match_seconds,avg_time_per_move_seconds,agent_a_avg_move_time_seconds,agent_b_avg_move_time_seconds,agent_a_avg_score,agent_b_avg_score,avg_score_margin_for_a,avg_normalized_score_margin_for_a,agent_a_avg_nodes_expanded_per_move,agent_b_avg_nodes_expanded_per_move,agent_a_avg_alpha_beta_prunes_per_move,agent_b_avg_alpha_beta_prunes_per_move,agent_a_avg_mcts_simulations_per_move,agent_b_avg_mcts_simulations_per_move,agent_a_avg_mcts_nodes_created_per_move,agent_b_avg_mcts_nodes_created_per_move,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_mcts_random,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,0.8068358000018634,0.06723631666682195,0.004843099998349014,0.12947518333385233,6.0,10.0,-4.0,-0.25,30.166666666666668,0.0,7.333333333333333,0.0,0.0,500.0,0.0,228.33333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.2093382000166457,0.10077818333472048,0.004436583335821827,0.1969736999987314,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,233.83333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_successor_eval,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.3085242999950424,0.10904369166625354,0.0044547999908293905,0.2134892333415337,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,223.83333333333334,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
minimax_balanced_vs_mcts_rollout_topk,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.3686291000049096,0.11405242500040913,0.004320599997299723,0.22363891666949107,5.0,11.0,-6.0,-0.375,26.333333333333332,0.0,6.333333333333333,0.0,0.0,500.0,0.0,227.5,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
minimax_d3_vs_d4_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,1.0,0.03239249999751337,0.0026993749997927807,0.002389449994855871,0.002853016669784362,2.0,13.0,-11.0,-0.7333333333333333,14.5,20.166666666666668,3.0,6.0,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d4_vs_d5_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,10.0,0.0,0.0646126999927219,0.00646126999927219,0.005417040002066642,0.007354980002855882,3.0,11.0,-8.0,-0.5714285714285714,30.8,52.6,7.8,12.0,0.0,0.0,0.0,0.0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d3_vs_d5_balanced,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,1.0,0.04904290000558831,0.004086908333799026,0.002291199988879574,0.005744133333791979,2.0,13.0,-11.0,-0.7333333333333333,14.5,43.5,3.0,9.166666666666666,0.0,0.0,0.0,0.0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
mcts_random_100_vs_500,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.0137859000242315,0.08448215833535262,0.03922068333486095,0.12959661667021768,5.0,11.0,-6.0,-0.375,0.0,0.0,0.0,0.0,100.0,500.0,61.833333333333336,232.66666666666666,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
mcts_random_500_vs_1000,4,standard,1,0,1,0,0.0,1.0,0.0,13.0,1.0,2.43304210001952,0.18715708461688615,0.14453895714333548,0.23672196667272752,7.0,9.0,-2.0,-0.125,0.0,0.0,0.0,0.0,500.0,1000.0,223.14285714285714,392.5,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
mcts_random_100_vs_1000,4,standard,1,0,1,0,0.0,1.0,0.0,12.0,0.0,1.638834899989888,0.13656957499915734,0.04007591666595545,0.23291489999974146,5.0,11.0,-6.0,-0.375,0.0,0.0,0.0,0.0,100.0,1000.0,69.66666666666667,373.5,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
