algorithm,k,inertia,n_clusters_found,silhouette_score,davies_bouldin_index,calinski_harabasz_score,used_sampling,sampling_strategy,original_size,sample_size,linkage,n_clusters,configuration,eps,min_samples,n_noise_points,noise_percentage
kmeans,2.0,203618.1875264338,2,0.15631450172425804,2.331392516771861,3545.9118292440185,True,random,253680,20000,,,,,,,
kmeans,3.0,186273.11961391722,3,0.12234558670174887,2.387618629612538,2868.976712626573,True,random,253680,20000,,,,,,,
kmeans,4.0,176139.5999716463,4,0.10161904038279154,2.4229573639210775,2406.051493018005,True,random,253680,20000,,,,,,,
kmeans,5.0,168650.53296404937,5,0.10447478653449607,2.4046517239441902,2106.5483854049007,True,random,253680,20000,,,,,,,
kmeans,6.0,161607.27366347716,6,0.09850605187586954,2.288332768291664,1932.8839479591015,True,random,253680,20000,,,,,,,
kmeans,7.0,156291.42187500358,7,0.09310333762540175,2.2166498025458505,1778.7675635708647,True,random,253680,20000,,,,,,,
kmeans,8.0,151758.63185065993,8,0.1005008261881462,2.3233122496283514,1655.4239917769796,True,random,253680,20000,,,,,,,
kmeans,9.0,147503.92202608564,9,0.10031983631868892,2.2616273080506777,1562.2796679224477,True,random,253680,20000,,,,,,,
kmeans,10.0,143797.03019974133,10,0.09569661896766696,2.222181342963772,1481.678669354563,True,random,253680,20000,,,,,,,
agglomerative,,,2,0.160300575862264,2.3379068654883497,1243.3176650694718,True,stratified,253680,10000,ward,2.0,ward_k_2,,,,
agglomerative,,,3,0.08518148039025669,2.838276819442072,1041.5835859206536,True,stratified,253680,10000,ward,3.0,ward_k_3,,,,
agglomerative,,,4,0.07897133263979829,2.5570082757751242,919.5836062896956,True,stratified,253680,10000,ward,4.0,ward_k_4,,,,
agglomerative,,,5,0.0615661474246561,2.565189917315666,811.561602115841,True,stratified,253680,10000,ward,5.0,ward_k_5,,,,
agglomerative,,,6,0.06591898689544017,2.6154131420547917,738.5886789626036,True,stratified,253680,10000,ward,6.0,ward_k_6,,,,
agglomerative,,,7,0.06853371133708035,2.5399082161078934,690.6990207154204,True,stratified,253680,10000,ward,7.0,ward_k_7,,,,
agglomerative,,,8,0.06347145546404331,2.4747788814249745,660.3411193825416,True,stratified,253680,10000,ward,8.0,ward_k_8,,,,
agglomerative,,,9,0.0668585739982747,2.4725654259737597,618.7241280807885,True,stratified,253680,10000,ward,9.0,ward_k_9,,,,
agglomerative,,,10,0.04951049185603558,2.3868088430336085,585.2933854635841,True,stratified,253680,10000,ward,10.0,ward_k_10,,,,
agglomerative,,,2,0.14621642300707102,2.412285797134278,637.2829747507227,True,stratified,253680,10000,complete,2.0,complete_k_2,,,,
agglomerative,,,3,0.1174480818135602,2.427098859053578,374.8942551024971,True,stratified,253680,10000,complete,3.0,complete_k_3,,,,
agglomerative,,,4,0.10060636921296441,3.307605989430032,505.1214056087467,True,stratified,253680,10000,complete,4.0,complete_k_4,,,,
agglomerative,,,5,0.07578393441694828,3.204849753756227,469.23161220939215,True,stratified,253680,10000,complete,5.0,complete_k_5,,,,
agglomerative,,,6,0.03626068126875286,3.7042242942761274,440.8567565867135,True,stratified,253680,10000,complete,6.0,complete_k_6,,,,
agglomerative,,,7,0.017813401441159893,3.485052430742134,446.56079419381484,True,stratified,253680,10000,complete,7.0,complete_k_7,,,,
agglomerative,,,8,0.016956008559289613,3.4785971284905504,427.1964400116025,True,stratified,253680,10000,complete,8.0,complete_k_8,,,,
agglomerative,,,9,0.015574661981423378,3.37863780895842,386.0545572683911,True,stratified,253680,10000,complete,9.0,complete_k_9,,,,
agglomerative,,,10,0.01829556432262688,3.2255721944316336,371.2518020095162,True,stratified,253680,10000,complete,10.0,complete_k_10,,,,
agglomerative,,,2,0.18145349208173353,1.9639711617099815,935.0690487059552,True,stratified,253680,10000,average,2.0,average_k_2,,,,
agglomerative,,,3,0.13669445997513766,2.5095006151639514,598.145338000125,True,stratified,253680,10000,average,3.0,average_k_3,,,,
agglomerative,,,4,0.11958640498880986,2.31291319164321,404.28941062476525,True,stratified,253680,10000,average,4.0,average_k_4,,,,
agglomerative,,,5,0.09904713930635688,2.1203276830127478,322.2519137698699,True,stratified,253680,10000,average,5.0,average_k_5,,,,
agglomerative,,,6,0.09213869528060625,2.0406817085708955,259.14265806223256,True,stratified,253680,10000,average,6.0,average_k_6,,,,
agglomerative,,,7,0.08722119481637264,1.9669065254483427,217.96027528754558,True,stratified,253680,10000,average,7.0,average_k_7,,,,
agglomerative,,,8,0.06175515645146532,1.8956901598833746,187.79909297973933,True,stratified,253680,10000,average,8.0,average_k_8,,,,
agglomerative,,,9,0.051639378482589406,1.8919836069622238,168.65335533628317,True,stratified,253680,10000,average,9.0,average_k_9,,,,
agglomerative,,,10,0.06145171936635133,2.003372525227518,224.88185546819898,True,stratified,253680,10000,average,10.0,average_k_10,,,,
agglomerative,,,2,0.2119435047507543,0.6598646551488994,2.227136914625087,True,stratified,253680,10000,single,2.0,single_k_2,,,,
agglomerative,,,3,0.14348666655097514,0.6751999747901372,2.1534082422883074,True,stratified,253680,10000,single,3.0,single_k_3,,,,
agglomerative,,,4,0.13585112862371865,0.7648320540547431,3.0515175992901593,True,stratified,253680,10000,single,4.0,single_k_4,,,,
agglomerative,,,5,0.10076897106519647,0.7509875736837728,2.7896781807590623,True,stratified,253680,10000,single,5.0,single_k_5,,,,
