algorithm,eps,min_samples,configuration,n_clusters_found,n_noise_points,noise_percentage,silhouette_score,davies_bouldin_index,calinski_harabasz_score,used_sampling,sampling_strategy,original_size,sample_size
dbscan,0.5,5,eps_0.5_min_samples_5,48,9150,91.5,0.296113298737154,0.8272330258859965,106.87549707119268,True,random,253680,10000
dbscan,0.5,10,eps_0.5_min_samples_10,8,9574,95.74000000000001,0.32163216881025725,1.0721961956452555,145.37417463002404,True,random,253680,10000
dbscan,0.5,20,eps_0.5_min_samples_20,3,9825,98.25,0.41943618017829254,0.8218932399073019,179.76646121942787,True,random,253680,10000
dbscan,0.5,50,eps_0.5_min_samples_50,0,10000,100.0,,,,True,random,253680,10000
dbscan,0.8,5,eps_0.8_min_samples_5,147,7480,74.8,0.21109348181414075,1.17036651737739,100.43148110751582,True,random,253680,10000
dbscan,0.8,10,eps_0.8_min_samples_10,40,8664,86.64,0.25803815306131234,1.1895541496061737,149.59249578863586,True,random,253680,10000
dbscan,0.8,20,eps_0.8_min_samples_20,6,9388,93.88,0.2601992396347138,1.4872606701430817,182.09940371913845,True,random,253680,10000
dbscan,0.8,50,eps_0.8_min_samples_50,3,9738,97.38,0.3730916960252514,1.0131378978548657,189.7078609238449,True,random,253680,10000
dbscan,1.0,5,eps_1.0_min_samples_5,133,6285,62.849999999999994,0.13109631458186555,1.3982594741300851,103.83669662626842,True,random,253680,10000
dbscan,1.0,10,eps_1.0_min_samples_10,47,7798,77.98,0.19844391728082506,1.365677969165873,153.80833143944986,True,random,253680,10000
dbscan,1.0,20,eps_1.0_min_samples_20,11,8898,88.98,0.2850020201583951,1.1181435708155083,248.12995944825033,True,random,253680,10000
dbscan,1.0,50,eps_1.0_min_samples_50,2,9431,94.31,0.4018125967708036,1.0690882020808992,382.93104165392754,True,random,253680,10000
dbscan,1.5,5,eps_1.5_min_samples_5,85,2369,23.69,0.11154914074908634,1.4109535515511493,134.27183250845692,True,random,253680,10000
dbscan,1.5,10,eps_1.5_min_samples_10,48,3483,34.83,0.1857606113621338,1.5258860429065368,234.31473946552217,True,random,253680,10000
dbscan,1.5,20,eps_1.5_min_samples_20,31,4654,46.54,0.21124724896333494,1.5567965978683895,300.00754693886023,True,random,253680,10000
dbscan,1.5,50,eps_1.5_min_samples_50,16,6842,68.42,0.26645278575893255,1.3971318094816731,378.9390054689469,True,random,253680,10000
dbscan,2.0,5,eps_2.0_min_samples_5,40,457,4.569999999999999,0.09882249021363765,2.0448150764940665,237.53089233034706,True,random,253680,10000
dbscan,2.0,10,eps_2.0_min_samples_10,36,980,9.8,0.12547027899927007,2.07638818938285,273.74918373211403,True,random,253680,10000
dbscan,2.0,20,eps_2.0_min_samples_20,34,1950,19.5,0.15044333496221704,1.944067768100074,292.13346580958546,True,random,253680,10000
dbscan,2.0,50,eps_2.0_min_samples_50,28,3377,33.77,0.18520882522878146,1.8092628901324908,323.34714440821074,True,random,253680,10000
dbscan,2.5,5,eps_2.5_min_samples_5,1,32,0.32,,,,True,random,253680,10000
dbscan,2.5,10,eps_2.5_min_samples_10,1,51,0.51,,,,True,random,253680,10000
dbscan,2.5,20,eps_2.5_min_samples_20,1,125,1.25,,,,True,random,253680,10000
dbscan,2.5,50,eps_2.5_min_samples_50,1,722,7.22,,,,True,random,253680,10000
dbscan,3.0,5,eps_3.0_min_samples_5,1,1,0.01,,,,True,random,253680,10000
dbscan,3.0,10,eps_3.0_min_samples_10,1,1,0.01,,,,True,random,253680,10000
dbscan,3.0,20,eps_3.0_min_samples_20,1,1,0.01,,,,True,random,253680,10000
dbscan,3.0,50,eps_3.0_min_samples_50,1,7,0.06999999999999999,,,,True,random,253680,10000
