variable,q1,q3,iqr,lower_bound,upper_bound,n_outliers
HighBP,0.0,1.0,1.0,-1.5,2.5,0
HighChol,0.0,1.0,1.0,-1.5,2.5,0
CholCheck,1.0,1.0,0.0,1.0,1.0,9470
BMI,24.0,31.0,7.0,13.5,41.5,9847
Smoker,0.0,1.0,1.0,-1.5,2.5,0
Stroke,0.0,0.0,0.0,0.0,0.0,10292
HeartDiseaseorAttack,0.0,0.0,0.0,0.0,0.0,23893
PhysActivity,1.0,1.0,0.0,1.0,1.0,61760
Fruits,0.0,1.0,1.0,-1.5,2.5,0
Veggies,1.0,1.0,0.0,1.0,1.0,47839
HvyAlcoholConsump,0.0,0.0,0.0,0.0,0.0,14256
AnyHealthcare,1.0,1.0,0.0,1.0,1.0,12417
NoDocbcCost,0.0,0.0,0.0,0.0,0.0,21354
GenHlth,2.0,3.0,1.0,0.5,4.5,12081
MentHlth,0.0,2.0,2.0,-3.0,5.0,36208
PhysHlth,0.0,3.0,3.0,-4.5,7.5,40949
DiffWalk,0.0,0.0,0.0,0.0,0.0,42675
Sex,0.0,1.0,1.0,-1.5,2.5,0
Age,6.0,10.0,4.0,0.0,16.0,0
Education,4.0,6.0,2.0,1.0,9.0,0
Income,5.0,8.0,3.0,0.5,12.5,0
