,HighBP,HighChol,CholCheck,BMI,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,Fruits,Veggies,HvyAlcoholConsump,AnyHealthcare,NoDocbcCost,GenHlth,MentHlth,PhysHlth,DiffWalk,Sex,Age,Education,Income
HighBP,1.0,0.29819929508040555,0.09850827252915051,0.24375601442966638,0.09699146704969774,0.12957491304959706,0.2093612106900363,-0.1252668662447098,-0.04055465861796811,-0.061266165318730116,-0.003971573995750689,0.038424768934771536,0.017357983577041578,0.3033004153206846,0.02049928526481007,0.1495504814647678,0.2236184659045557,0.05220696068728577,0.3445345740196993,-0.1419704760859179,-0.17916132217399397
HighChol,0.29819929508040555,1.0,0.08564222777135849,0.1362977423699697,0.09129935725579924,0.09262007445488958,0.18076535489000442,-0.07804618590105501,-0.0408590813316338,-0.03987360715035923,-0.011542518585169049,0.042229862220892464,0.013310163214191014,0.20864042583842862,0.04406049570948158,0.11933085846947777,0.14467153800763946,0.031205330139888337,0.26635498319334466,-0.06885015912364975,-0.0879051464150971
CholCheck,0.09850827252915051,0.08564222777135849,1.0,0.040285085826803464,-0.009928878151498847,0.02415766745925834,0.04420580983754619,0.004189616718408846,0.023849406401563314,0.006121009612067787,-0.02373009065481386,0.11762562458953439,-0.05825508444362247,0.046350733940619615,-0.013269832805438909,0.030474766352099964,0.040585057358639674,-0.02211503557162567,0.09353327223721523,0.0038696713622208834,0.015263354654095635
BMI,0.24375601442966638,0.1362977423699697,0.040285085826803464,1.0,0.02308898113188197,0.022428129689053385,0.06365905280702765,-0.14461103589754998,-0.09606687450712044,-0.06803952260163454,-0.052448493220881916,-0.013760533396137392,0.05215126778607765,0.2573418868796152,0.05393599347268039,0.11609615975187919,0.1795425716389504,0.08934898069079561,-0.024590705194114885,-0.12327677995311159,-0.09219157173958833
Smoker,0.09699146704969774,0.09129935725579924,-0.009928878151498847,0.02308898113188197,1.0,0.061172674679167253,0.11444121771036976,-0.08740116253342735,-0.0776658386107574,-0.030677709807192633,0.10161868704672539,-0.02325080318794782,0.04894582346709629,0.15900870419181096,0.06093978416932018,0.09319652187483209,0.12246321459352201,0.09366236142514878,0.1193039310992439,-0.17356598843254423,-0.1326633242493897
Stroke,0.12957491304959706,0.09262007445488958,0.02415766745925834,0.022428129689053385,0.061172674679167253,1.0,0.20300193999028834,-0.06915141558046697,-0.013389353021372064,-0.04112422467324551,-0.016950330306947075,0.008775925446428953,0.0348041063069487,0.16368491671113095,0.04981894465896325,0.1276814964308463,0.17656691703377717,0.0029782884033473346,0.12906026403827237,-0.07296954038189525,-0.1237283277287654
HeartDiseaseorAttack,0.2093612106900363,0.18076535489000442,0.04420580983754619,0.06365905280702765,0.11444121771036976,0.20300193999028834,1.0,-0.08729898692452437,-0.019790347908616796,-0.03916740903628852,-0.028990515666571022,0.01873418626226445,0.030999704754903473,0.24224327942879634,0.03476296703402453,0.15663009816788886,0.21270869529037797,0.08609550814379131,0.2276386187539575,-0.09591041700092981,-0.1414853394761489
PhysActivity,-0.1252668662447098,-0.07804618590105501,0.004189616718408846,-0.14461103589754998,-0.08740116253342735,-0.06915141558046697,-0.08729898692452437,1.0,0.1427558627380735,0.153149570230788,0.012392236192433976,0.035504736513472,-0.06163838726337295,-0.25624099861270483,-0.08252575087174066,-0.17949432840918683,-0.25317400747654095,0.032481685775770035,-0.08804935558196947,0.20024803066726413,0.2020220487483877
Fruits,-0.04055465861796811,-0.0408590813316338,0.023849406401563314,-0.09606687450712044,-0.0776658386107574,-0.013389353021372064,-0.019790347908616796,0.1427558627380735,1.0,0.25434224443197606,-0.03528773290611688,0.03154391879221864,-0.04424268944660032,-0.10547369890326988,-0.06415281012556859,-0.04527815403860909,-0.04835167462915143,-0.09117486533234562,0.06693417991910806,0.11492851122865406,0.07641482388218548
Veggies,-0.061266165318730116,-0.03987360715035923,0.006121009612067787,-0.06803952260163454,-0.030677709807192633,-0.04112422467324551,-0.03916740903628852,0.153149570230788,0.25434224443197606,1.0,0.021064481082578662,0.029583816893788365,-0.032231705041889845,-0.12254015749312969,-0.042357327981626114,-0.05394285157660825,-0.08050571665377625,-0.06476515609496768,-0.011222684505251957,0.15463509651089294,0.14936412694120257
