variable,mean,median,std,min,q1,q2,q3,max
HighBP,0.4290011037527594,0.0,0.49493446268990143,0.0,0.0,0.0,1.0,1.0
HighChol,0.4241209397666351,0.0,0.49420980465688485,0.0,0.0,0.0,1.0,1.0
CholCheck,0.9626695048880479,1.0,0.1895707543627255,0.0,1.0,1.0,1.0,1.0
BMI,28.382363607694735,27.0,6.608694201406008,12.0,24.0,27.0,31.0,98.0
Smoker,0.44316855881425415,0.0,0.4967606667785632,0.0,0.0,0.0,1.0,1.0
Stroke,0.04057079785556607,0.0,0.19729409940016232,0.0,0.0,0.0,0.0,1.0
HeartDiseaseorAttack,0.09418558814254178,0.0,0.29208731475075544,0.0,0.0,0.0,0.0,1.0
PhysActivity,0.7565436770734784,1.0,0.42916904339704554,0.0,1.0,1.0,1.0,1.0
Fruits,0.6342557552822453,1.0,0.4816391871704334,0.0,0.0,1.0,1.0,1.0
Veggies,0.811419899085462,1.0,0.39117547168449074,0.0,1.0,1.0,1.0,1.0
HvyAlcoholConsump,0.05619678334910123,0.0,0.2303017888952292,0.0,0.0,0.0,0.0,1.0
AnyHealthcare,0.9510525070955534,1.0,0.2157587063107391,0.0,1.0,1.0,1.0,1.0
NoDocbcCost,0.08417691579943236,0.0,0.277653500857625,0.0,0.0,0.0,0.0,1.0
GenHlth,2.5113923052664773,2.0,1.0684773622803934,1.0,2.0,2.0,3.0,5.0
MentHlth,3.1847721538946705,0.0,7.412846696196173,0.0,0.0,0.0,2.0,30.0
PhysHlth,4.2420805739514345,0.0,8.717951307175127,0.0,0.0,0.0,3.0,30.0
DiffWalk,0.16822374645222327,0.0,0.374065594732803,0.0,0.0,0.0,0.0,1.0
Sex,0.4403421633554084,0.0,0.49642916311850516,0.0,0.0,0.0,1.0,1.0
Age,8.032119205298013,8.0,3.054220434168484,1.0,6.0,8.0,10.0,13.0
Education,5.050433617155472,5.0,0.9857741757276509,1.0,4.0,5.0,6.0,6.0
Income,6.053874960580258,7.0,2.0711475662715184,1.0,5.0,7.0,8.0,8.0
