linkage,k,menor_cluster_frac,n_clusters,n_ruido,silhouette,davies_bouldin,calinski_harabasz
ward,2,0.3712857142857143,2,0,0.11082514402236339,3.1401784465027127,634.2083387293148
ward,3,0.06814285714285714,3,0,0.12210302852010897,2.6923679530415865,565.3105657404644
ward,4,0.025285714285714286,4,0,0.13612125410982234,2.209894058328385,527.3909376192905
ward,5,0.025285714285714286,5,0,0.1479882629063698,2.041680926218004,519.5229618246951
complete,2,0.125,2,0,0.17794736453973067,2.662262085309107,458.16947431141284
complete,3,0.025285714285714286,3,0,0.19231206873678786,2.180406370117521,440.19124464148285
complete,4,0.015428571428571429,4,0,0.1752868083708282,2.1465347211023307,322.75744458123125
complete,5,0.015428571428571429,5,0,0.18859521200536122,2.0220680587828226,351.8045993979141
average,2,0.0005714285714285715,2,0,0.3408978710078133,1.199144749756948,9.196585524650642
average,3,0.0005714285714285715,3,0,0.3052423910691743,1.2516274771888327,193.70407354270355
average,4,0.00014285714285714287,4,0,0.3020791447957696,1.073005474334952,130.14415774387857
average,5,0.00014285714285714287,5,0,0.21125205111733367,1.0866512442378833,98.71569396259267
single,2,0.025285714285714286,2,0,0.32694073312532346,1.2845925485662153,377.24990063016094
single,3,0.00014285714285714287,3,0,0.32694073312532346,1.0513937047409587,189.89305330852713
single,4,0.00014285714285714287,4,0,0.2913215567528831,0.922293412781438,127.72144271000282
single,5,0.00014285714285714287,5,0,0.2828448029036829,0.901970802831905,97.51469770058748
