eps,min_samples,n_clusters,n_ruido,silhouette,davies_bouldin,calinski_harabasz
1.0,5,45,5983,0.28445372549770453,1.0641761034490573,82.35433044436455
1.0,10,18,6416,0.3450588442475318,0.9870441150491985,99.23660107981065
1.0,20,2,6783,0.40803798974593897,1.0544265522374756,153.60612627754048
1.0,50,0,7000,,,
1.5,5,83,4572,0.24751499324541326,1.2181601890290183,75.31490385137992
1.5,10,34,5147,0.26326609239429427,1.3637446842003922,120.0838333182279
1.5,20,16,5722,0.2774598778461217,1.3724249741546901,157.44430436239173
1.5,50,3,6591,0.3229189639771432,1.2894144607055589,150.83208785245105
2.0,5,133,3618,0.22354367772352055,1.4103040221834777,65.44587924329723
2.0,10,61,4321,0.22719953440533994,1.497819722945874,89.7708537997611
2.0,20,30,4897,0.23343059654168902,1.5642818916258474,124.81149262552535
2.0,50,12,5702,0.2526898449485248,1.5338830816400877,170.4015097620128
2.5,5,23,2238,0.06694398040532054,1.4028936971684245,64.42072999921096
2.5,10,9,2854,0.07800892994109974,1.371907640569562,93.2709818261453
2.5,20,4,3369,0.12335821656522312,1.3741817598294053,103.95158494741678
2.5,50,2,4168,0.16576195421555734,1.4090367356775804,93.70830464317447
3.0,5,14,1165,0.14692265300419943,1.3544174120479404,103.38855247976102
3.0,10,7,1564,0.13669779648309754,1.4783944183827207,153.15003361625182
3.0,20,7,2096,0.09133821394644999,1.396663608902708,96.58673274416789
3.0,50,1,2831,,,
