,HighBP,HighChol,CholCheck,Smoker,Stroke,HeartDiseaseorAttack,PhysActivity,Fruits,Veggies,HvyAlcoholConsump,AnyHealthcare,NoDocbcCost,DiffWalk,Sex,BMI,MentHlth,PhysHlth,GenHlth,Age,Education,Income
HighBP,1.0,0.3165148491231586,0.1032832912877523,0.0874382972239799,0.12905987239828895,0.21075039424782,-0.13610216921048884,-0.04085216367112714,-0.06662373642634918,-0.027029886199800766,0.03576444162582161,0.026517009140562414,0.23478390556187062,0.04081925333524189,0.2755459558830876,0.0388970393594897,0.17710138491983426,0.32403793455049007,0.32217978954236637,-0.1435426367484814,-0.19689593766220906
HighChol,0.3165148491231586,1.0,0.08598139781448912,0.09339831214903348,0.0997861912782668,0.18118663814076813,-0.0904531628947722,-0.04738362427094167,-0.04283626328213275,-0.02544297883506266,0.03153179533876783,0.03319927235274541,0.16204340993772293,0.017324455700753864,0.15833924863813972,0.07060832863111571,0.14880129710300957,0.23913785565576878,0.2179741750368374,-0.08317735923409152,-0.11028910253502693
CholCheck,0.1032832912877523,0.08598139781448912,1.0,-0.0043305150784824714,0.022529380990748974,0.04349714436604558,-0.008249363298374963,0.017383832228086028,0.00034925770612058324,-0.027146160164698094,0.10680042492268524,-0.0626687433084863,0.044430366642743725,-0.007991222636615593,0.054396566307608876,-0.016959620495981112,0.032652548062276056,0.06025717366000142,0.09920805715477274,-0.007692900698734319,0.007271119578954693
Smoker,0.0874382972239799,0.09339831214903348,-0.0043305150784824714,1.0,0.0646583967464417,0.12441753471724676,-0.07982325801815589,-0.07481080481129974,-0.02992565073592603,0.07783501055762149,-0.012938633347559085,0.03579888963654585,0.11978871245600249,0.11212518192327509,0.022429011628961076,0.06201231980970041,0.10120284086759494,0.14995974792440844,0.09882229369581336,-0.15291768736895453,-0.11224052986512542
Stroke,0.12905987239828895,0.0997861912782668,0.022529380990748974,0.0646583967464417,1.0,0.22339378563056594,-0.07998478230213457,-0.008996297398176718,-0.047601203634348416,-0.023394552003700476,0.006483590692384006,0.03619832547646128,0.1922659229467697,0.0038220951654187275,0.026133378040091283,0.06819066068761842,0.1508715625069462,0.18251725387438766,0.1235441921536086,-0.07188869333057368,-0.1344865380882193
HeartDiseaseorAttack,0.21075039424782,0.18118663814076813,0.04349714436604558,0.12441753471724676,0.22339378563056594,1.0,-0.09822333217219346,-0.019435822675883157,-0.036314733114407166,-0.037129768526934226,0.015687481118649642,0.03602871981559432,0.23261057419979592,0.09816136693145586,0.07447452028787864,0.05122788047527835,0.18496138436616374,0.2688145397095757,0.2252306162022351,-0.0937271654841943,-0.1489237543847364
PhysActivity,-0.13610216921048884,-0.0904531628947722,-0.008249363298374963,-0.07982325801815589,-0.07998478230213457,-0.09822333217219346,1.0,0.13381291435682927,0.14932233961939032,0.019110750608654345,0.027088786222320457,-0.0633016606466455,-0.27686825948225413,0.05175289117746257,-0.1692647263038895,-0.0978453435262974,-0.20801283635219475,-0.27096721007688485,-0.09268503991316852,0.19383115048601282,0.20237049879521773
Fruits,-0.04085216367112714,-0.04738362427094167,0.017383832228086028,-0.07481080481129974,-0.008996297398176718,-0.019435822675883157,0.13381291435682927,1.0,0.2386052866588395,-0.03324568118217101,0.029385153269409842,-0.04584258615603381,-0.050784243085792526,-0.08872310112677463,-0.09142471451438518,-0.06002485540539489,-0.05032810414478115,-0.09955890484056201,0.06777778775498368,0.10465328980096283,0.07673168011429604
Veggies,-0.06662373642634918,-0.04283626328213275,0.00034925770612058324,-0.02992565073592603,-0.047601203634348416,-0.036314733114407166,0.14932233961939032,0.2386052866588395,1.0,0.022090472064527626,0.029152203694807644,-0.03714619523782499,-0.08407156232834928,-0.052603776961257946,-0.06266922633172327,-0.04076733155780693,-0.06099704709498843,-0.11725841449997083,-0.017207562935875033,0.15353880345245977,0.15581641764658827
HvyAlcoholConsump,-0.027029886199800766,-0.02544297883506266,-0.027146160164698094,0.07783501055762149,-0.023394552003700476,-0.037129768526934226,0.019110750608654345,-0.03324568118217101,0.022090472064527626,1.0,-0.013483953348185715,0.00968255657945141,-0.04929397712941221,0.014164397728632944,-0.06308786701513522,0.024335944054543725,-0.035878483458390995,-0.05874051803342785,-0.05626422630070904,0.03342617109690599,0.06658556874317015
AnyHealthcare,0.03576444162582161,0.03153179533876783,0.10680042492268524,-0.012938633347559085,0.006483590692384006,0.015687481118649642,0.027088786222320457,0.029385153269409842,0.029152203694807644,-0.013483953348185715,1.0,-0.2216575732750098,0.008113322067511676,-0.006561785054138398,-0.005136231165963309,-0.046540851871213845,-0.0057657317982378045,-0.03400640816273628,0.14101747252904018,0.10053447321104564,0.12994847379899038
NoDocbcCost,0.026517009140562414,0.03319927235274541,-0.0626687433084863,0.03579888963654585,0.03619832547646128,0.03602871981559432,-0.0633016606466455,-0.04584258615603381,-0.03714619523782499,0.00968255657945141,-0.2216575732750098,1.0,0.12711092106753363,-0.04818661801804292,0.061142415796578524,0.19220187980621398,0.16814113977612688,0.16600671940905198,-0.1410497328477932,-0.09414843063232321,-0.19571914440681382
DiffWalk,0.23478390556187062,0.16204340993772293,0.044430366642743725,0.11978871245600249,0.1922659229467697,0.23261057419979592,-0.27686825948225413,-0.050784243085792526,-0.08407156232834928,-0.04929397712941221,0.008113322067511676,0.12711092106753363,1.0,-0.0822483253291845,0.23313006349096765,0.22415914535309017,0.46195396096789304,0.4665398762627897,0.1828416210554124,-0.1996142524244897,-0.33642544406322217
Sex,0.04081925333524189,0.017324455700753864,-0.007991222636615593,0.11212518192327509,0.0038220951654187275,0.09816136693145586,0.05175289117746257,-0.08872310112677463,-0.052603776961257946,0.014164397728632944,-0.006561785054138398,-0.04818661801804292,-0.0822483253291845,1.0,0.03349762271296603,-0.12812103690339915,-0.07031208011026086,-0.014037665161505172,0.00044677951310598756,0.046773684581261125,0.1579671040726675
BMI,0.2755459558830876,0.15833924863813972,0.054396566307608876,0.022429011628961076,0.026133378040091283,0.07447452028787864,-0.1692647263038895,-0.09142471451438518,-0.06266922633172327,-0.06308786701513522,-0.005136231165963309,0.061142415796578524,0.23313006349096765,0.03349762271296603,1.0,0.08693177565243726,0.1665140227837727,0.2842650104362031,-0.03814092435565155,-0.11862960550879009,-0.11898623697436449
MentHlth,0.0388970393594897,0.07060832863111571,-0.016959620495981112,0.06201231980970041,0.06819066068761842,0.05122788047527835,-0.0978453435262974,-0.06002485540539489,-0.04076733155780693,0.024335944054543725,-0.046540851871213845,0.19220187980621398,0.22415914535309017,-0.12812103690339915,0.08693177565243726,1.0,0.34533692882819067,0.2695134078628094,-0.1679288438913665,-0.067896512646666,-0.17188336671503399
PhysHlth,0.17710138491983426,0.14880129710300957,0.032652548062276056,0.10120284086759494,0.1508715625069462,0.18496138436616374,-0.20801283635219475,-0.05032810414478115,-0.06099704709498843,-0.035878483458390995,-0.0057657317982378045,0.16814113977612688,0.46195396096789304,-0.07031208011026086,0.1665140227837727,0.34533692882819067,1.0,0.5242744791239562,0.04426154727461621,-0.13752855014781873,-0.2575966065258044
GenHlth,0.32403793455049007,0.23913785565576878,0.06025717366000142,0.14995974792440844,0.18251725387438766,0.2688145397095757,-0.27096721007688485,-0.09955890484056201,-0.11725841449997083,-0.05874051803342785,-0.03400640816273628,0.16600671940905198,0.4665398762627897,-0.014037665161505172,0.2842650104362031,0.2695134078628094,0.5242744791239562,1.0,0.13875511580270067,-0.2815315642747774,-0.3823375495885094
Age,0.32217978954236637,0.2179741750368374,0.09920805715477274,0.09882229369581336,0.1235441921536086,0.2252306162022351,-0.09268503991316852,0.06777778775498368,-0.017207562935875033,-0.05626422630070904,0.14101747252904018,-0.1410497328477932,0.1828416210554124,0.00044677951310598756,-0.03814092435565155,-0.1679288438913665,0.04426154727461621,0.13875511580270067,1.0,-0.10237890493764157,-0.17295026563809796
Education,-0.1435426367484814,-0.08317735923409152,-0.007692900698734319,-0.15291768736895453,-0.07188869333057368,-0.0937271654841943,0.19383115048601282,0.10465328980096283,0.15353880345245977,0.03342617109690599,0.10053447321104564,-0.09414843063232321,-0.1996142524244897,0.046773684581261125,-0.11862960550879009,-0.067896512646666,-0.13752855014781873,-0.2815315642747774,-0.10237890493764157,1.0,0.4633486186321328
Income,-0.19689593766220906,-0.11028910253502693,0.007271119578954693,-0.11224052986512542,-0.1344865380882193,-0.1489237543847364,0.20237049879521773,0.07673168011429604,0.15581641764658827,0.06658556874317015,0.12994847379899038,-0.19571914440681382,-0.33642544406322217,0.1579671040726675,-0.11898623697436449,-0.17188336671503399,-0.2575966065258044,-0.3823375495885094,-0.17295026563809796,0.4633486186321328,1.0
