componente,variancia_explicada,variancia_acumulada
1,0.17326911219342936,0.17326911219342936
2,0.08252096963430448,0.25579008182773383
3,0.06353268205905865,0.3193227638867925
4,0.05737355889225234,0.3766963227790448
5,0.05624098481609314,0.43293730759513793
6,0.05131169677200523,0.48424900436714313
7,0.04899404904256352,0.5332430534097067
8,0.04475792858771133,0.578000981997418
9,0.044424408567917774,0.6224253905653357
10,0.04146231015104077,0.6638877007163765
11,0.038828777414367265,0.7027164781307438
12,0.03774653639480239,0.7404630145255462
13,0.035394523962135174,0.7758575384876814
14,0.035045493417645054,0.8109030319053264
15,0.03362740550103552,0.8445304374063619
16,0.03338872480086017,0.8779191622072221
17,0.030830766677104673,0.9087499288843268
18,0.026039930523495458,0.9347898594078223
19,0.023714011967740017,0.9585038713755624
20,0.02263049711435244,0.9811343684899148
21,0.018865631510085287,1.0
