feature,mi,mi_normalizada,mi_acumulada
GenHlth,0.0463953299245512,0.17099109417351452,0.17099109417351452
HighBP,0.037802727396671634,0.13932285277013265,0.31031394694364717
BMI,0.03233173821993529,0.11915939176957696,0.42947333871322413
Age,0.02484087896097842,0.09155165144157824,0.5210249901548024
DiffWalk,0.02218037686167952,0.08174630754705584,0.6027712977018582
HighChol,0.021010363786941072,0.07743419647526932,0.6802054941771275
Income,0.016859732798135907,0.06213694704433628,0.7423424412214638
PhysHlth,0.01525718818847821,0.056230730692111736,0.7985731719135755
HeartDiseaseorAttack,0.013863570050574134,0.05109451783086481,0.8496676897444403
Education,0.013639498945582806,0.05026869843314865,0.8999363881775889
PhysActivity,0.006489053946904244,0.023915562974474374,0.9238519511520633
MentHlth,0.004869872005303977,0.01794802933885914,0.9417999804909225
Stroke,0.004797775698711244,0.017682316682645503,0.959482297173568
CholCheck,0.003158234993099823,0.011639750337058191,0.9711220475106263
HvyAlcoholConsump,0.0022527905246417738,0.008302713169162769,0.979424760679789
Smoker,0.0020780738431711646,0.00765879067559266,0.9870835513553816
Veggies,0.0015153942917870943,0.00558502177866515,0.9926685731340468
Fruits,0.0006677959888969839,0.002461178032613894,0.9951297511666607
NoDocbcCost,0.0006250186356831153,0.00230352107783458,0.9974332722444953
Sex,0.0005245566868205265,0.0019332661709990644,0.9993665384154944
AnyHealthcare,0.00017187830366093785,0.0006334615845057092,1.0
