feature,mi,mi_normalizada,mi_acumulada
GenHlth,0.04548801797304858,0.1820113498593299,0.1820113498593299
HighBP,0.027470898180087078,0.10991939157622435,0.29193074143555425
Diabetes_binary,0.02697993176244129,0.10795488609998541,0.3998856275355397
DiffWalk,0.023362379801904032,0.09347996402459907,0.49336559156013876
Sex,0.018921295851635822,0.07570984079993248,0.5690754323600713
PhysActivity,0.01575740327406061,0.06305014744517748,0.6321255798052487
Age,0.015058479085425347,0.060253539883638664,0.6923791196888874
PhysHlth,0.014206285384579687,0.05684365453922911,0.7492227742281166
Education,0.014130589672501692,0.05654077304762308,0.8057635472757396
Income,0.011153780591230955,0.044629657476999186,0.8503932047527388
MentHlth,0.00967101767287648,0.03869667353272271,0.8890898782854615
HighChol,0.005830587844462443,0.02332994954127887,0.9124198278267404
Veggies,0.005022888671593284,0.020098100292070372,0.9325179281188107
NoDocbcCost,0.003791292000338675,0.015170108644904628,0.9476880367637154
Smoker,0.0031741013617803127,0.012700541795210105,0.9603885785589255
HeartDiseaseorAttack,0.0030841730323765137,0.012340711286985327,0.9727292898459108
Fruits,0.001997420471536948,0.00799228483589904,0.9807215746818099
Stroke,0.0018151365013525655,0.007262911410777837,0.9879844860925877
AnyHealthcare,0.0014579177185687353,0.005833570767971319,0.993818056860559
CholCheck,0.0009866948346117788,0.003948065155384965,0.997766122015944
HvyAlcoholConsump,0.0005582876121015268,0.002233877984056088,1.0
