feature,mi,mi_normalizada,mi_acumulada
GenHlth,0.04537177064747433,0.18038104222681065,0.18038104222681065
HighBP,0.03432500773273635,0.13646328060196564,0.3168443228287763
BMI,0.031271886433033025,0.12432522219634737,0.4411695450251236
HighChol,0.021952160120935482,0.08727350652700604,0.5284430515521297
Age,0.02023805333952855,0.08045886466256212,0.6089019162146918
DiffWalk,0.019221024107084456,0.07641554013928586,0.6853174563539777
Income,0.016909109653431953,0.0672242405109501,0.7525416968649278
PhysHlth,0.016523288122580526,0.06569035966708231,0.81823205653201
HeartDiseaseorAttack,0.011586563896435989,0.04606380667189152,0.8642958632039015
Education,0.007699793300451008,0.0306114731835726,0.8949073363874741
PhysActivity,0.006426576389321592,0.02554964310436433,0.9204569794918385
Stroke,0.0046571825415134965,0.018515200722621007,0.9389721802144595
MentHlth,0.003693429370406953,0.01468368171922348,0.953655861933683
CholCheck,0.0034053899411267356,0.01353854561995878,0.9671944075536418
HvyAlcoholConsump,0.0024856527951202436,0.009882017725987366,0.9770764252796292
Smoker,0.0020061505524279766,0.007975697715711572,0.9850521229953408
Veggies,0.0015344939734369678,0.006100569104298957,0.9911526920996397
Fruits,0.0009564262414069602,0.0038023898952169784,0.9949550819948567
NoDocbcCost,0.0005293927906234105,0.0021046660061375903,0.9970597480009943
Sex,0.0005091957788722901,0.002024370307346363,0.9990841183083407
AnyHealthcare,0.00023037439822485087,0.0009158816916589993,0.9999999999999997
